City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,rantepao,-2.9701,119.8978,76.86,84,85,3.33,ID,1667886273
294,cockburn town,21.4612,-71.1419,79.99,74,15,8.39,TC,1667886250
295,lahat,-3.8,103.5333,82.44,72,100,1.9,ID,1667886113
296,basavana bagevadi,16.5833,75.9667,82.11,36,33,10.49,IN,1667886275
297,vanimo,-2.6741,141.3028,80.55,84,100,4.29,PG,1667886275
298,christchurch,-43.5333,172.6333,62.8,55,5,14.97,NZ,1667886275
299,daru,-9.0763,143.2092,81.34,76,100,4.74,PG,1667886079
300,almaznyy,48.0448,40.045,34.86,78,9,8.77,RU,1667886275
301,kloulklubed,7.0419,134.2556,82.9,67,99,2.17,PW,1667886276
302,roma,43.2128,-75.4557,43.36,73,4,1.01,US,1667886276
303,margate,51.3813,1.3862,59.9,76,100,7.0,GB,1667886053
304,tecpan,14.7623,-90.9947,56.89,95,93,5.01,GT,1667886277
305,nguruka,-5.1092,31.0419,70.12,83,89,4.27,TZ,1667886277
306,polaniec,50.4332,21.2812,40.91,97,98,6.13,PL,1667886278
307,beesel,51.2683,6.0389,54.28,85,82,12.86,NL,1667886278
308,pimenta bueno,-11.6725,-61.1936,70.36,59,1,2.48,BR,1667886278
309,moron,-34.6534,-58.6198,65.95,73,0,9.78,AR,1667886279
310,marquette,46.5333,-87.6335,36.34,72,43,6.02,US,1667886279
311,tabou,4.423,-7.3528,77.41,85,92,5.5,CI,1667886279
312,kashan,33.9831,51.4364,51.39,43,0,0.0,IR,1667886278
313,skvyra,49.7318,29.6657,44.22,71,97,6.91,UA,1667886279
314,karla,59.3723,24.9275,48.16,80,75,18.41,EE,1667886280
315,touros,-5.1989,-35.4608,75.83,79,100,7.18,BR,1667886280
316,jalu,29.0331,21.5482,62.38,77,0,5.26,LY,1667886280
317,sola,-13.8833,167.55,79.72,79,99,15.21,VU,1667886281
318,biltine,14.5333,20.9167,78.76,20,4,18.03,TD,1667886281
319,barra patuca,15.8,-84.2833,77.13,83,5,8.03,HN,1667886281
320,walvis bay,-22.9575,14.5053,58.08,100,100,0.0,NA,1667886281
321,alice springs,-23.7,133.8833,98.15,14,40,12.66,AU,1667886222
322,ejura,7.3856,-1.3562,71.01,81,81,3.38,GH,1667886282
323,tezonapa,18.6092,-96.6917,68.97,97,49,2.66,MX,1667886282
324,smithers,54.7804,-127.1743,10.72,72,100,3.44,CA,1667886282
325,atambua,-9.1061,124.8925,84.69,61,68,4.61,ID,1667886283
326,genhe,50.7833,121.5167,32.22,74,83,4.92,CN,1667886242
327,porbandar,21.6422,69.6093,84.18,54,1,6.91,IN,1667886283
328,ananas,19.2466,-71.9557,66.76,93,3,1.59,HT,1667886284
329,port lincoln,-34.7333,135.8667,69.94,62,100,11.45,AU,1667886284
330,taltal,-25.4,-70.4833,58.51,83,26,1.16,CL,1667886285
331,krutinka,56.0055,71.5113,26.46,83,97,6.55,RU,1667886285
332,kolpny,52.2282,37.0368,37.02,76,100,9.06,RU,1667886285
333,ontario,34.0633,-117.6509,58.62,93,75,8.05,US,1667886223
334,hoquiam,46.9809,-123.8893,42.78,92,100,8.05,US,1667886286
335,santa marta,11.2408,-74.199,81.9,71,75,5.75,CO,1667886286
336,virginia beach,36.8529,-75.978,67.01,69,0,11.5,US,1667886026
337,poum,-20.2333,164.0167,77.74,82,99,19.98,NC,1667886287
338,yatou,37.15,122.3833,61.25,49,0,4.52,CN,1667886288
339,kangaatsiaq,68.3065,-53.4641,12.43,84,64,7.63,GL,1667886289
340,enumclaw,47.2043,-121.9915,40.24,87,100,1.99,US,1667886289
341,tukrah,32.5341,20.5791,67.44,80,29,8.14,LY,1667886289
342,saldanha,-33.0117,17.9442,62.02,76,88,6.62,ZA,1667886184
343,boma,7.0805,-2.1697,68.36,97,89,2.08,GH,1667886290
344,banda aceh,5.5577,95.3222,83.75,70,99,8.19,ID,1667886192
345,yarovoye,52.9273,78.58,32.68,61,96,1.59,RU,1667886290
346,manokwari,-0.8667,134.0833,78.94,86,98,5.26,ID,1667886291
347,lukovetskiy,64.2956,41.9211,35.78,99,100,5.73,RU,1667886291
348,kiyasovo,56.3491,53.1244,30.45,91,96,8.01,RU,1667886292
349,la orilla,17.9833,-102.2333,75.81,90,5,2.71,MX,1667886073
350,pevek,69.7008,170.3133,-0.62,100,20,3.11,RU,1667886292
351,mursalimkino,55.0379,58.5585,29.21,88,100,9.22,RU,1667886292
352,kununurra,-15.7667,128.7333,105.78,15,74,5.75,AU,1667886204
353,cabo san lucas,22.8909,-109.9124,73.51,73,0,4.0,MX,1667886092
354,vranov,48.8947,15.8127,40.87,92,51,2.77,CZ,1667886293
355,port augusta,-32.5,137.7667,90.1,21,76,15.1,AU,1667886294
356,ancud,-41.8697,-73.8203,53.38,95,98,2.62,CL,1667886228
357,sitka,57.0531,-135.33,27.07,46,23,5.73,US,1667886294
358,santa rosalia,27.3167,-112.2833,67.64,61,96,6.71,MX,1667886294
359,kumluca,36.3703,30.2869,66.69,45,0,3.53,TR,1667886294
360,longyearbyen,78.2186,15.6401,22.84,80,75,11.5,SJ,1667886295
361,eyl,7.9803,49.8164,82.09,60,9,7.83,SO,1667886295
362,los llanos de aridane,28.6585,-17.9182,64.15,51,0,8.05,ES,1667886110
363,leningradskiy,69.3833,178.4167,19.18,92,100,11.52,RU,1667886295
364,goderich,43.7501,-81.7165,45.91,65,70,13.8,CA,1667886296
365,huangmei,30.1924,116.025,77.22,32,2,8.95,CN,1667886296
366,gainesville,29.6516,-82.3248,68.76,83,75,6.91,US,1667886103
367,melfi,40.9965,15.6514,48.45,85,0,3.44,IT,1667886165
368,shenjiamen,29.9576,122.298,66.7,64,0,10.65,CN,1667886253
